id,heya,birthDate,shusshin,debut,height,weight,currentRank
7522,-,0001-01-01T00:00:00Z,-,195401,,,
2973,Hanakago,1943-03-02T00:00:00Z,"Hokkaido, Kamikawa-gun, Higashikagura-cho",195907,,,
6428,Oshima,1971-02-24T00:00:00Z,"Osaka-fu, Osaka-shi, Tsurumi-ku",198705,178.5,111.0,
3683,Naruto,1978-04-05T00:00:00Z,"Ehime-ken, Uma-gun, Shingu-mura - Ehime-ken, Shikokuchuo-shi",199403,177.0,113.5,
6560,Takadagawa,1967-05-14T00:00:00Z,"Tokyo-to, Edogawa-ku",198303,186.0,77.0,
2954,Dewanoumi,1937-05-03T00:00:00Z,"Aomori-ken, Kitatsugaru-gun",195305,173.0,83.0,
7711,-,0001-01-01T00:00:00Z,-,195701,,,
6531,Taiho,1969-11-18T00:00:00Z,"Hokkaido, Hakodate-shi",198503,176.0,95.0,
8339,Kasugano,1943-09-21T00:00:00Z,"Miyagi-ken, Oshika-gun, Onagawa-cho",196107,,,
4302,Nakamura,1991-11-21T00:00:00Z,"Yamanashi-ken, Kofu-shi",200703,175.0,153.0,
6836,Kokonoe,1962-06-22T00:00:00Z,"U.S.A., Hawaii",198301,184.0,157.0,
2829,Kasugano,1944-05-18T00:00:00Z,"Osaka-fu, Osaka-shi, Naniwa-ku",196305,175.0,97.0,
7702,-,0001-01-01T00:00:00Z,-,195605,,,
1852,Takasago,1955-08-12T00:00:00Z,"Yamaguchi-ken, Shimonoseki-shi",196905,175.0,110.0,
1303,Tatsunami,1959-02-12T00:00:00Z,"Yamanashi-ken, Kitatsuru-gun, Uenohara-machi",197403,182.0,170.0,
2657,Hanakago,1945-05-14T00:00:00Z,"Gifu-ken, Ogaki-shi",196307,173.0,130.5,
218,Takadagawa,1980-04-17T00:00:00Z,"Fukuoka-ken, Onojo-shi",199603,177.0,151.0,Sandanme 42 West
7297,Michinoku,1961-10-23T00:00:00Z,"Shizuoka-ken, Gotenba-shi",197909,172.5,78.0,
8755,-,0001-01-01T00:00:00Z,-,195903,,,
8530,-,0001-01-01T00:00:00Z,-,196907,,,
823,Hanakago,1961-01-02T00:00:00Z,"Kagoshima-ken, Oshima-gun, Kasari-cho",197603,180.5,96.0,
